"label","levels","HOMES","OpenGate","Casa Maria","Dia De La Mujer Latina"
"Distance Visual Acuity","20/20","4 (10.5)","1 (4.2)","10 (27.8)","25 (9.3)"
"","20/30","4 (10.5)","4 (16.7)","5 (13.9)","55 (20.5)"
"","20/40","4 (10.5)","2 (8.3)","9 (25.0)","37 (13.8)"
"","20/50","3 (7.9)","0 (0.0)","6 (16.7)","45 (16.8)"
"","20/70","3 (7.9)","0 (0.0)","2 (5.6)","35 (13.1)"
"","20/100","4 (10.5)","1 (4.2)","1 (2.8)","22 (8.2)"
"","20/200","14 (36.8)","15 (62.5)","3 (8.3)","40 (14.9)"
"","unable to screen","2 (5.3)","1 (4.2)","0 (0.0)","9 (3.4)"
"Near Visual Acuity","20/20","4 (10.5)","3 (12.5)","9 (25.0)","17 (6.3)"
"","20/30","8 (21.1)","6 (25.0)","13 (36.1)","37 (13.8)"
"","20/40","5 (13.2)","2 (8.3)","5 (13.9)","40 (14.9)"
"","20/50","5 (13.2)","1 (4.2)","3 (8.3)","39 (14.6)"
"","20/70","2 (5.3)","2 (8.3)","2 (5.6)","44 (16.4)"
"","20/100","8 (21.1)","2 (8.3)","2 (5.6)","72 (26.9)"
"","20/200","1 (2.6)","7 (29.2)","2 (5.6)","1 (0.4)"
"","unable to screen","5 (13.2)","1 (4.2)","0 (0.0)","18 (6.7)"
